序号,模块,功能,功能简述
1,生产订单,生产工单,工单是生产车间接收工厂PMC部门下达生产指令，实现手动录入、导入或API接口同步
2,生产订单,齐套分析与欠料看板,产线任务单的齐套及欠料发布；
3,生产订单,派工单,按照工单的交货期、产线、工厂日历和产线产能给出排产建议，支持手动排产生成派工单；
4,条码应用,条码类型,定义系统使用哪些条码类型，支持：产品码、内外箱码、中箱码、栈板码、材料码。
5,条码应用,条码规则,定义系统使用到条码规则，规则支持：常量、日期格式、变量和流水号
6,条码应用,条码模板,定义标签模板以及标签参数
7,条码应用,条码应用规则,将存货、条码规则和标签模板进行组合，条码支持唯一码和批次码两种，条码来源分为条码规则生成、传入值生成和外部导入
8,条码应用,条码生成,按照应用方式进行生成条码，实现条码生成、外部导入、条码打印
9,现场管理（生产管理）,参数配置,为了满足不同业务场景，可以通过参数配置对生产管理进行配置
10,现场管理（生产管理）,生产任务单,车间下达到生产线上的生产日计划，生产线按照生产任务单进行生产，生产任务单支持派工单下发、手动录入和导入；
11,现场管理（生产管理）,生产派工单,生产任务单下达后按照产品生产工艺将任务派到生产工序上
12,现场管理（生产管理）,产品生产状态,记录每个产品在生产过程中当前生产工序
13,现场管理（生产管理）,生产报工,记录每个产品在现场报工的数据，包括不良报工、检测报工、设备计数、关键物料报工、装箱和普通报工等
14,现场管理（生产管理）,生产完工单,记录每个任务单的产品生产完工情况
15,现场管理（生产管理）,返修工单,记录现场产品返修情况，方便后期跟进产品返工情况
16,现场管理（生产管理）,平板-生产任务单,用于生产线现场对生产任务单筛选，对生产任务单开工、暂停和结束操作
17,现场管理（生产管理）,平板-工序作业,呈现操作员所在工位能够报工计数的工序，支持离散型和流水型两个报工，根据产品的生产工艺的工序进入不同报工界面
18,现场管理（生产管理）,平板-电子SOP,呈现当前工位所生产产品的工序电子SOP，支持：任务单自动切换电子SOP、自动轮播、支持多种文件(图片、视频、电子文件)
19,现场管理（生产管理）,平板-产品追溯,扫码产品码对产品整个生产过程进行追溯
20,设备管理,设备类别,用于维护设备的分类
21,设备管理,设备制造商,用于维护的设备制造厂商，方便后期能够联系
22,设备管理,故障原理,用于维护设备类别的发生故障原因，方便后期统计分析，以便提前预防设备
23,设备管理,设备台账,用于维护设备基础信息，使用部门和管理部门
24,设备管理,保养任务,定义设备的保养任务，方便维护人员能够为设备做定时保养，以免造成设备出现严重损坏
25,设备管理,设备点检,记录设备每次点检的记录
26,设备管理,报修任务,用于发起报修任务，指定维护人员前往维修
27,设备管理,移动端-设备状态,查看各个设备运行状态
28,设备管理,设备（线）OEE,设备管理 模块增加设备OEE及其相关管理指标
29,设备管理,能源分析,设备管理 模块增加环保设备、关键设备（如压铸、冲压、设备）的能耗与产量分析
30,设备对接,设备计数及联调,满足企业现场各种不同设备进行计数，系统开放设备配置和设备计数接口
31,计件工资,工序计件,按照工序的单价及报工的数量计算各工序的金额
32,工艺管理,工序管理,建立物料生产的工序，对工序的类型进行设置。不同工序之间可绑定工序不良原因、SOP，以便在工位机进行不良报工、sop查看
33,工艺管理,工艺路线,用于建立物料生产过程的工艺路线，由工序之间自由搭配组成。可根据工艺路线中上传对应SOP，以便查看。支持同一工艺路线与多个产品进行绑定。
34,质量管理,检验项目分类,用于维护检验项目分类和检测项目，根据产品的检验项目定义分类，设定检验项目的检验值
35,质量管理,检验标准方案,为了产品定义不同检验方案，可以按照客户和默认方案
36,质量管理,首末件检验单,用于产品开始生产的首件末件检验，首件末件检验单记录产品首检末件检验的检验指标值
37,质量管理,巡检单,用于产品在生产过程中，对产线上的产品进行定时巡检，将巡检结果实时记录在系统中
38,质量管理,成品入库检验单,用于产品已经生产完，对产品整体进行抽检，将抽检结果录入系统中。
39,质量管理,成品发货检验单,用于在库成品通过销售发货通知生成对库存产品发货批次进行抽检，将抽检结果录入系统中形成出厂检测报告；
40,安灯管理,安灯类型,"定义车间的安灯类型,支持处理方式：不处理、自行处理和协助处理，通过不同处理方式记录安灯计数，满足企业不同的应用场景，部分设备已实现设备亮灯和关灯控制"
41,安灯管理,异常配置,用于配置安灯时的通知处理人，通过配置将根据消息或大屏及时通知到处理人
42,安灯管理,异常原因,用于安灯常用的异常原因，方便后期能够统计相关的原因发生比例，以便对生产现场进行整改
43,安灯管理,现场生产异常,记录异常安灯的记录信息，以便能够查找
44,安灯管理,平板端-异常安灯,异常安灯分为生产安灯和非生产安灯，主要实现发起安灯、确定和处理安灯
45,安灯管理,移动-异常安灯,异常安灯分为生产安灯和非生产安灯，主要实现发起安灯
46,安灯管理,移动-异常处理,异常处理用于查找当前用户有哪些异常未处理和已处理、进行确认和处理。
47,微信小程序,实时看板,查看当前车间生产的情况，体现生产和质量情况
48,微信小程序,生产分析,对以往的生产数据和质量分析，将各种指标呈现给
49,微信小程序,产品追溯,扫码产品码对产品整个生产过程进行追溯
50,报表分析,关键物料追溯,通过制令单号查询制令单的产品信息、同批产品信息、同批次物料信息，使用同批次物料的其他产品信息
51,报表分析,产品追溯,扫码产品码对产品整个生产过程进行追溯
52,报表分析,产量报表查询,产量趋势汇总分析，用来显示分析不同单位时间内按照不同的汇总条件下的产量
53,报表分析,生产实时信息,可实时查询在生产工单信息，包括工单投入数量、工单产出数量、不良数量
54,报表分析,不良查询,通过日期、班组查询不良现象、不良点位信息，根据时段、不良现象、不良点位汇总
55,报表分析,车间生产时段报表,可按生产时段(日/周/月)查询各车间的生产情况
56,电子看板,产线看板,在线安装看板显示器来显示该生产线或生产车间的产能、工单达成率、直通率和质量等KPI
57,电子看板,车间看板,用于在车间或管理办公室显示各产线的生产任务、生产进度、质量异常、产能等
58,电子看板,中控看板,用于公司各功能模块的运营状况综合看板；
59,ERP接口,生产任务单读取接口,实现将ERP的生产任务单读取到MES系统中
60,ERP接口,工艺数据读取,工艺数据实时对接和管理
61,标准API接口,计量单位(写),将其他系统的计量单位写入MES系统的计量单位
62,标准API接口,工单(写),将其他系统的车间生产工单写入MES系统的工单
63,标准API接口,生产任务单(写),将其他系统的订单或至指令单写入MES系统的生产任务单
64,标准API接口,设备计数报工(写),将根据设备对接和配置，进行设备报工计数
65,标准API接口,生产完工单(读),读取MES系统生产完工单的数据
